Bucket End Time, Symbol, Trade Type, Aggregated Quantity, Average Price, Total Volume, Trade Count
04:10:38PM, BTCUSDT, BUY, 6.152910000000004, 96278.27822004542, 592391.5808429001, 102
04:10:58PM, BTCUSDT, SELL, 3.2021300000000017, 96282.96804836148, 308310.5804766999, 123
04:11:18PM, BTCUSDT, BUY, 2.6312299999999977, 96305.20513961159, 253401.14491949996, 180
04:11:58PM, BTCUSDT, BUY, 2.0881799999999977, 96313.15089398436, 201119.19543380005, 70
04:11:58PM, ETHUSDT, BUY, 77.17519999999999, 2625.361237755133, 202612.77859599993, 194
04:11:58PM, SOLUSDT, BUY, 1099.2659999999998, 199.2449957153228, 219023.24946, 63
04:12:18PM, ETHUSDT, SELL, 78.21399999999998, 2627.8172524356264, 205532.09858200004, 114
04:12:38PM, BTCUSDT, BUY, 4.08053, 96285.10080161155, 392894.242374, 47
04:12:38PM, BTCUSDT, SELL, 5.24024, 96294.37231134452, 504605.6215608, 192
04:13:38PM, BTCUSDT, BUY, 2.374309999999997, 96272.94024495552, 228581.80475300003, 80
04:14:18PM, ETHUSDT, BUY, 77.03389999999999, 2624.8547741968164, 202202.8001900001, 83
04:14:18PM, SOLUSDT, BUY, 2757.662000000001, 199.3069157133832, 549621.1078, 90
04:14:38PM, BTCUSDT, SELL, 3.814389999999996, 96271.75926022258, 367218.0358046, 184
